"Document","ID_chaine","Cluster","Enchaînement_nature","Annotation_corpus","Mots_contexte"
"FR100658","c44","Classe 2","(SN∅,1)-(SNind,1)","EVENT -> EVENT","TDM, tomodensitométrie"
"FR100658","c69","Classe 2","(SNdef,1)-(SN∅,1)-(SNdef,1)","EVENT -> EVENT -> EVENT","pression, PNI, PNI"
"FR100658","c74","Classe 2","(SNdef,1)-(SN∅,1)-(SNdef,1)","EVENT -> EVENT -> EVENT","saturation, SpO2, SpO2"
"FR100658","c105","Classe 3","(SNdef,2)-(SN∅,1)","EVENT -> EVENT -> EVENT","anesthésie, anesthésie, anesthésie"
"FR100658","c128","Classe 3","(SNdef,2)","EVENT -> EVENT","geste, geste"
"FR100663","c1","Classe 3","(Pro,1)-(Poss,1)-(Pro,8)","ACTOR (H-PROFESSIONAL) -> Non annoté -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","Nous, notre, Nous, Nous, Nous, Nous, Nous, Nous, Nous, Nous"
"FR100663","c3","Classe 3","(SNind,1)-(SNdef,2)-(Poss,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> BODYPART -> ACTOR (PATIENT)","La patiente, La patiente, La patiente, son pôle supérieur, La patiente"
"FR100663","c8","Classe 2","(SN∅,2)","EVENT -> EVENT","césarienne, césarienne"
"FR100663","c7","Classe 1","(SNind,2)-(SNdef,1)-(Pro,1)-(Poss,1)","ACTOR (OTHER) -> ACTOR (OTHER) -> BODYPART -> BODYPART -> BODYPART","un enfant vivant, un embryon, l'oeuf, l'abdomen, son pôle supérieur"
"FR100663","c11","Classe 2","(SN∅,1)-(SNnum,1)","TIMEX3 -> TIMEX3","7 semaines d'aménorrhée (SA), 7 semaines"
"FR100663","c26","Classe 1","(SNind,1)-(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","cicatrice, cicatrice, cicatrice"
"FR100663","c32","Classe 2","(SN∅,2)","BODYPART -> BODYPART","un utérus antéversé, légèrement augmenté de taille, un utérus antéversé, légèrement augmenté de taille"
"FR100663","c31","Classe 1","(SNind,2)-(SNdef,2)","BODYPART -> BODYPART -> BODYPART -> BODYPART","la face antérieure de l'utérus, la face antérieure de l'utérus, la face antérieure de l'utérus, la face antérieure de l'utérus"
"FR100663","c37","Classe 1","(SNind,1)-(SNdef,1)-(SNind,1)-(SNdef,1)","BODYPART -> BODYPART -> BODYPART -> BODYPART","Le sac, Le sac, Le sac, Le sac"
"FR100663","c41","Classe 1","(SNind,1)-(SNposs,1)","BODYPART -> BODYPART","son pôle supérieur, son pôle supérieur"
"FR100663","c44","Classe 2","(SN∅,2)","EVENT -> EVENT","activité, activité"
"FR100663","c50","Classe 3","(SNdef,2)","EVENT -> BODYPART","Taux, hCG plasmatique"
"FR100663","c58","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","bilan, qui"
"FR100663","c66","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","contrôle, qui"
"FR100663","c76","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","traitement, intervention"
"FR100663","c84","Classe 3","(SNdef,2)","BODYPART -> BODYPART","une vessie ascensionnée sur la partie antérieure de l'utérus, la face antérieure de l'utérus"
"FR100663","c83","Classe 3","(SNind,1)-(SNdef,1)-(Pro,1)","BODYPART -> BODYPART -> BODYPART","la vessie, la vessie, l'abdomen"
"FR100666","c4","Classe 3","(SNdef,3)","EVENT/CLINENTITY -> EVENT -> EVENT","tuméfactions, lésions, lésions"
"FR100666","c1","Classe 3","(SNind,1)-(SNdef,1)-(Pro,1)-(SNdef,3)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Un jeune homme âgé de 19 ans, Le patient, Il, Le patient, Le patient, Le patient"
"FR100666","c15","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","bilan, qui"
"FR100666","c26","Classe 2","(SN∅,1)-(SNdem,1)-(SN∅,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","tuméfactions, tuméfactions, tuméfactions"
"FR100666","c48","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","diagnostic, celui"
"FR100666","c52","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","biopsie, dont"
"FR100666","c61","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","lymphome, lymphome"
"FR100666","c72","Classe 2","(SNdef,1)-(Np,1)","CLINENTITY -> CLINENTITY","virus de l'immunodéficience humaine, VIH"
"FR100666","c86","Classe 2","(SN∅,2)","EVENT -> Non annoté","polychimiothérapie, chimiothérapie"
"FR100666","c90","Classe 2","(SN∅,3)","EVENT -> EVENT -> EVENT","COP, cyclophosphamide, cyclophosphamide"
"FR100666","c91","Classe 2","(SN∅,2)","EVENT -> EVENT","vincristine, vincristine"
"FR100666","c92","Classe 2","(SN∅,2)","EVENT -> EVENT","prédnisone, prédnisone"
"FR100666","c102","Classe 1","(SNind,2)","EVENT -> EVENT","régression, rémission"
"FR100683","c1","Classe 3","(SNdef,1)-(Poss,1)-(Pro,3)-(SNdef,1)-(Poss,1)-(SNdef,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","La patiente, ses, Elle, Elle, Elle, La patiente, Son, La patiente"
"FR100683","c5","Classe 2","(SN∅,2)","EVENT -> EVENT","bouffées, bouffées"
"FR100683","c4","Classe 1","(SNind,2)","EVENT -> EVENT","aménorrhée, aménorrhée"
"FR100683","c6","Classe 2","(SNnum,2)","TIMEX3 -> TIMEX3","17 ans, 17 ans"
"FR100683","c3","Classe 2","(SN∅,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","galactorrhée, galactorrhée"
"FR100683","c12","Classe 2","(SNnum,1)-(Pro,1)","EVENT -> Non annoté","grossesses, dont"
"FR100683","c64","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> EVENT","FSH, FSH"
"FR100683","c65","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> EVENT","LH, LH"
"FR100683","c68","Classe 3","(SNdef,2)","EVENT -> EVENT","IRM, IRM"
"FR100683","c69","Classe 1","(SNind,1)-(SNdef,1)","Non annoté -> EVENT/CLINENTITY","micro, adénome"
"FR100688","c1","Classe 1","(SNind,1)-(Pro,2)-(SNdef,1)-(Pro,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Un patient âgé de 27 ans, Il, Il, Un patient âgé de 27 ans, Il"
"FR100688","c4","Classe 1","(SNind,1)-(SNdef,1)-(SNind,1)-(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","tuméfaction, tuméfaction, tuméfaction, tuméfaction, tuméfaction"
"FR100688","c31","Classe 2","(SN∅,2)","EVENT -> EVENT","Bacille, Bacille"
"FR100688","c39","Classe 1","(SNdef,1)-(Autre,1)","BODYPART -> BODYPART","la dixième et onzième vertèbre dorsale (D10-D11), la dixième et onzième vertèbre dorsale (D10-D11)"
"FR100689","c1","Classe 3","(SNind,1)-(Pro,1)-(Poss,1)-(SNdef,1)-(Poss,2)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","un jeune homme de 36 ans, Il, son frère, le patient, son frère, son frère, le patient, le patient"
"FR100689","c6","Classe 1","(SNind,1)-(SNdem,1)","EVENT -> Non annoté","syndrome, tableau"
"FR100689","c7","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","humeur, symptomatologie"
"FR100689","c17","Classe 2","(SN∅,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","céphalées, céphalées"
"FR100689","c50","Classe 3","(SNind,1)-(SNdef,1)-(Pro,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> Non annoté","diparésie, diparésie, qui"
"FR100689","c48","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> CLINENTITY","syndrome, lésions"
"FR100689","c54","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","hydrocéphalée, hydrocéphalie"
"FR100689","c55","Classe 3","(SNdef,2)","EVENT -> EVENT","IRM, IRM"
"FR100689","c97","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> Non annoté","IDR, intra dermoréaction à la tuberculine"
"FR100689","c109","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","traitement, traitement"
"FR100697","c1","Classe 1","(SNind,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, La patiente"
"FR100697","c4","Classe 3","(SNdef,2)","Non annoté -> CLINENTITY","la maladie, sida"
"FR100697","c8","Classe 2","(SNdef,1)-(SN∅,1)-(SNdef,1)","BODYPART -> BODYPART -> BODYPART","Le sein controlatéral, Le sein controlatéral, Le sein controlatéral"
"FR100697","c9","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","sein gauche très augmenté de volume, sein gauche très augmenté de volume"
"FR100697","c15","Classe 2","(SN∅,1)-(SNind,1)","EVENT -> EVENT","rétraction, rétraction"
"FR100697","c33","Classe 2","(SNind,1)-(SN∅,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","épaississement, épaississement"
"FR100697","c50","Classe 2","(SN∅,1)-(SNdem,1)","BODYPART -> BODYPART","Ces cellules, Ces cellules"
"FR100697","c54","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","immunomarquage, il"
"FR100708","c1","Classe 3","(Pro,1)-(Poss,1)","ACTOR (H-PROFESSIONAL) -> Non annoté","Nous, notre"
"FR100708","c3","Classe 3","(SNind,1)-(Poss,1)-(SNdef,1)-(Pro,1)-(Poss,1)-(Pro,1)-(SNdef,1)-(Pro,1)-(SNdef,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, sa, La patiente, elle, son, elle-même, La patiente, elle, La patiente"
"FR100708","c19","Classe 2","(SN∅,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","galactorrhée, galactorrhée"
"FR100708","c24","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","IRM, laquelle"
"FR100708","c29","Classe 1","(SNind,1)-(Pro,1)","EVENT/CLINENTITY -> Non annoté","pathologie, qui"
"FR100708","c35","Classe 2","(Np,1)-(SNposs,1)","Non annoté -> EVENT","Cabergoline, médicament"
"FR100708","c38","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","traitement, traitement"
"FR100708","c41","Classe 3","(SNdef,1)-(SN∅,1)-(SNdef,3)","CLINENTITY -> CLINENTITY -> CLINENTITY -> CLINENTITY -> CLINENTITY","augmentation du volume du sein, augmentation du volume du sein, augmentation du volume du sein, augmentation du volume du sein, augmentation du volume du sein"
"FR100708","c48","Classe 2","(SN∅,1)-(SNind,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","masse, masse"
"FR100708","c62","Classe 2","(SN∅,1)-(SNdem,1)","EVENT -> EVENT","collection, collection"
"FR100717","c15","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> CLINENTITY","radiculalgie, lombo-radiculalgie"
"FR100717","c14","Classe 1","(SNind,1)-(SNdef,1)","CLINENTITY -> CLINENTITY","lombosciatique S1 bilatérale, lombosciatique S1 bilatérale"
"FR100717","c40","Classe 2","(Autre,3)","BODYPART -> BODYPART -> BODYPART","L3-L4, L3-L4, L3-L4"
"FR100717","c41","Classe 2","(Autre,1)-(Np,1)-(Autre,3)-(Np,1)","BODYPART -> BODYPART -> BODYPART -> BODYPART -> BODYPART -> BODYPART","L4-L5, L5, L4-L5, L5, L5, L5"
"FR100717","c42","Classe 1","(SNind,2)","CLINENTITY -> CLINENTITY","canal lombaire étroit, canal lombaire étroit"
"FR100717","c43","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","IRM, Elle"
"FR100717","c45","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","épaississement, qui"
"FR100717","c51","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","laminectomie, intervention"
"FR100717","c54","Classe 3","(Pro,2)","ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","nous, nous"
"FR100717","c55","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","quantité, masse"
"FR100748","c6","Classe 2","(SN∅,2)","CLINENTITY -> EVENT/CLINENTITY","hypertension artérielle, HTA"
"FR100748","c1","Classe 4","(SNind,1)-(SNdef,4)-(Pro,1)-(Poss,1)-(SNdef,1)-(Poss,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> Non annoté","La patiente, La patiente, La patiente, La patiente, La patiente, Elle, son, La patiente, ses"
"FR100748","c15","Classe 2","(SNdef,1)-(SN∅,1)-(SNind,1)-(SNdef,1)","EVENT -> EVENT -> EVENT -> EVENT","tension, TA, tension, TA"
"FR100748","c16","Classe 2","(SNnum,2)","RML -> RML","130/80 mm de Hg, 130/80 mm de Hg"
"FR100748","c17","Classe 2","(SNnum,2)","RML -> RML","130/80 mm de Hg, 190/120 mmHg"
"FR100748","c22","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> CLINENTITY","masse, tumeur"
"FR100748","c24","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la veine cave inférieure, les veines cave inférieure et rénale droite"
"FR100748","c23","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la veine cave inférieure, les veines cave inférieure et rénale droite"
"FR100748","c27","Classe 2","(SNdef,1)-(Np,1)","Non annoté -> EVENT","l' acide vanyl-mandélique urinaire, VMA"
"FR100748","c39","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","intubation, intubation"
"FR100748","c38","Classe 2","(SNind,1)-(Np,1)","EVENT -> EVENT","critère, Mallampati"
"FR100748","c55","Classe 3","(SNdef,2)","EVENT -> EVENT","Nicardipine, Nicardipine"
"FR100748","c58","Classe 3","(SNdef,2)","EVENT -> EVENT","furosémide, furosémide"
"FR100748","c61","Classe 3","(SNdef,2)","EVENT -> EVENT","dopamine, dopamine"
"FR100748","c66","Classe 3","(SNdef,2)","EVENT -> EVENT","vécuronium, vécuronium"
"FR100748","c67","Classe 3","(SNdef,2)","EVENT -> EVENT","fentanyl, fentanyl"
"FR100748","c78","Classe 1","(SNdef,1)-(SNposs,1)","EVENT -> EVENT","chiffres, chiffres"
"FR100748","c81","Classe 2","(SNdef,1)-(SN∅,1)","Non annoté -> EVENT","la pression artérielle, PNI"
"FR100748","c82","Classe 1","(SNdef,1)-(Autre,1)","EVENT -> EVENT","saturation, SPO2"
"FR100748","c84","Classe 1","(SNdef,1)-(Autre,1)","EVENT -> EVENT","capnométrie, ETCO2"
"FR100748","c90","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","résection, résection"
"FR100766","c1","Classe 3","(SN∅,1)-(SNdef,2)-(Pro,1)-(Poss,1)-(Pro,1)-(Poss,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","Le patient, Le patient, Le patient, Il, sa, Il, son, Le patient"
"FR100766","c3","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT/CLINENTITY","adénocarcinome, tumeur"
"FR100766","c9","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","CPC, CPC"
"FR100766","c19","Classe 3","(SNdef,1)-(Pro,1)","CLINENTITY -> CLINENTITY","colon qui est prolabé, colon qui est prolabé"
"FR100766","c20","Classe 3","(SNdef,1)-(Pro,1)","BODYPART -> Non annoté","l'orifice stomial, où"
"FR100766","c22","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","traitement, traitement"
"FR100780","c1","Classe 4","(Np,1)-(SNposs,1)-(SNdef,6)-(Poss,1)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Madame Y.A âgée de 28 ans, La patiente, La patiente, La patiente, La patiente, La patiente, La patiente, La patiente, son, La patiente, la parturiente"
"FR100780","c15","Classe 3","(SNdef,2)","EVENT -> EVENT","grossesse, grossesse"
"FR100780","c22","Classe 1","(SNind,1)-(Pro,1)-(SNdef,1)","EVENT -> Non annoté -> EVENT","hypertension, qui, hypertension"
"FR100780","c25","Classe 2","(SNnum,2)","EVENT -> EVENT","séances, séances"
"FR100780","c24","Classe 1","(SNind,2)","EVENT -> EVENT","insuffisance, insuffisance"
"FR100780","c31","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","alpha-méthyldopa, alpha-méthyldopa"
"FR100780","c64","Classe 1","(SNind,2)","EVENT -> EVENT","présentation, présentation"
"FR100780","c60","Classe 1","(SNind,1)-(SNdef,1)","BODYPART -> BODYPART","du col, du col"
"FR100780","c127","Classe 1","(SNind,1)-(SNdef,1)","ACTOR (OTHER) -> ACTOR (OTHER)","un prématuré de sexe masculin, Le nouveau-né"
"FR100806","c1","Classe 3","(Pro,1)-(SNind,1)-(Poss,1)-(Pro,3)-(SNdef,1)-(Pro,1)-(Poss,1)","Non annoté -> ACTOR (PATIENT) -> BODYPART -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté","qui, une demoiselle âgée de 25 ans, un abdomen souple, mât, augmenté de volume, sensible dans son ensemble, Elle, Elle, Elle, la patiente, Elle, sa"
"FR100806","c5","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT/CLINENTITY","insuffisance, IR"
"FR100806","c8","Classe 2","(SNind,1)-(SN∅,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","anémie, anémie, anémie"
"FR100806","c17","Classe 3","(SNdef,2)","EVENT -> EVENT","hospitalisation, hospitalisation"
"FR100806","c24","Classe 1","(SNind,1)-(SNdem,1)-(Poss,1)-(SNind,1)","CLINENTITY -> CLINENTITY -> BODYPART -> CLINENTITY","abdomen légèrement augmenté de volume, abdomen légèrement augmenté de volume, un abdomen souple, mât, augmenté de volume, sensible dans son ensemble, abdomen légèrement augmenté de volume"
"FR100806","c25","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","abdomen légèrement augmenté de volume, abdomen légèrement augmenté de volume"
"FR100806","c29","Classe 2","(SNnum,2)","RML -> RML","2210µmol/l, 11,6mmol/l"
"FR100806","c33","Classe 2","(SN∅,1)-(SNdem,1)","EVENT/CLINENTITY -> Non annoté","anémie, ce tableau"
"FR100806","c37","Classe 2","(SN∅,2)","EVENT -> EVENT","hémodialyse, dialyse"
"FR100806","c78","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","hématome sous capsulaire avec fracture de la rate, hématome sous capsulaire avec fracture de la rate"
"FR100806","c77","Classe 1","(SNind,2)","EVENT -> EVENT","hématome, hématome"
"FR100806","c99","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","récupération, qui"
"FR100814","c25","Classe 3","(SNdef,1)-(Pro,1)-(SNdef,1)","EVENT -> Non annoté -> EVENT","diagnostic, celui, diagnostic"
"FR100814","c26","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","neurofibrome, tumeur"
"FR100826","c1","Classe 1","(SNind,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","un homme âgé de 50 ans, le donneur"
"FR100826","c9","Classe 2","(SN∅,1)-(SNind,1)","EVENT -> EVENT","TDM, tomodensitométrie"
"FR100826","c10","Classe 1","(SNind,1)-(Poss,1)-(SNdef,1)-(SNind,1)","BODYPART -> BODYPART -> BODYPART -> BODYPART","la portion pré-hépatique normale de la VCI située à droite, sa portion sous rénale, la portion pré-hépatique normale de la VCI située à droite, la portion pré-hépatique normale de la VCI située à droite"
"FR100826","c11","Classe 1","(SNposs,1)-(Pro,1)","BODYPART -> Non annoté","la portion pré-hépatique normale de la VCI située à droite, qui"
"FR100826","c13","Classe 3","(SNdef,1)-(Pro,1)","BODYPART -> Non annoté","la veine rénale gauche, celle-ci"
"FR100845","c1","Classe 1","(SNind,2)-(SNdef,3)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","patiente, patiente, patiente, patiente, patiente"
"FR100845","c15","Classe 2","(SN∅,2)","EVENT -> EVENT","jumeaux, jumeaux"
"FR100845","c14","Classe 3","(SNdef,2)","EVENT -> EVENT","diagnostic, diagnostic"
"FR100845","c41","Classe 2","(SNdef,1)-(SNnum,1)","BODYPART -> BODYPART","des deux rachis, des deux rachis"
"FR100845","c42","Classe 3","(SNdef,2)","BODYPART -> BODYPART","deux rachis fusionnant au niveau de la région lombaire, deux rachis fusionnant au niveau de la région lombaire"
"FR100845","c65","Classe 3","(SNdef,2)","EVENT -> Non annoté","poids, le"
"FR100845","c72","Classe 3","(SNdef,1)-(Pro,1)","ACTOR (H-PROFESSIONAL) -> Non annoté","les pédiatres, dont"
"FR100845","c76","Classe 2","(SNnum,1)-(SNdef,1)","BODYPART -> BODYPART","des deux trachées, des deux trachées"
"FR100845","c71","Classe 3","(SNdef,2)","EVENT -> EVENT","jumeaux, jumeaux"
"FR100849","c1","Classe 2","(SNind,1)-(SN∅,3)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Un homme de 45 ans, Patient, Patient, Patient"
"FR100849","c11","Classe 2","(SN∅,1)-(SNdef,1)","CLINENTITY -> CLINENTITY","masse, masse"
"FR100849","c18","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","tomodensitométrie, TDM"
"FR100870","c1","Classe 2","(Np,1)-(SNdef,1)-(Np,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mr MD, Le patient, Mr MD"
"FR100870","c3","Classe 2","(SNdef,1)-(SN∅,2)","EVENT -> EVENT/CLINENTITY -> EVENT/CLINENTITY","maladie, kaposi, kaposi"
"FR100870","c8","Classe 3","(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","lésions, lésions"
"FR100870","c11","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","biopsie, qui"
"FR100870","c14","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","sérologie, qui"
"FR100870","c29","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","IRM, imagerie"
"FR100870","c56","Classe 2","(SNdef,1)-(SN∅,1)-(Np,1)-(SN∅,1)","CLINENTITY -> Non annoté -> Non annoté -> Non annoté -> Non annoté","immunoglobuline monoclonale, IgG lambda, IgG=22,7g/l, IgG=22,7g/l, IgG lambda"
"FR100870","c75","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","myélogramme, qui"
"FR100870","c78","Classe 3","(SN∅,1)-(SNdef,3)","BODYPART -> BODYPART -> BODYPART -> BODYPART","plasmocytes, plasmocytes, plasmocytes, plasmocytes"
"FR100870","c94","Classe 2","(SN∅,1)-(SNnum,1)","Non annoté -> BODYPART","nombre, plasmocytes"
"FR100870","c97","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> Non annoté","remaniement, équivalent moléculaire de la translocation t"
"FR100870","c114","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","myélome, myélome"
"FR100874","c1","Classe 3","(Np,1)-(Pro,1)-(SNdef,2)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mme F N, qui, La patiente, La patiente"
"FR100874","c16","Classe 3","(SNdef,2)","EVENT -> EVENT","examen, examen"
"FR100874","c43","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","diverticule, dont"
"FR100874","c52","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","image, dont"
"FR100882","c1","Classe 3","(SNind,1)-(Poss,1)-(Pro,1)-(Poss,1)-(Pro,3)","ACTOR (PATIENT) -> Non annoté -> Non annoté -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","une patiente de 72 ans, son, qui, son, Elle, Elle, Elle"
"FR100882","c11","Classe 1","(SNposs,2)","EVENT -> EVENT","hospitalisation, hospitalisation"
"FR100882","c21","Classe 2","(SN∅,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","dysurie, dysurie"
"FR100882","c22","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","miction, miction"
"FR100882","c20","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","troubles, troubles"
"FR100882","c36","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la pointe des pieds, la pointe des pieds"
"FR100882","c38","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la pointe des pieds, la pointe des pieds"
"FR100882","c37","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la pointe et le talon des pieds, les talons"
"FR100882","c34","Classe 1","(SNdef,1)-(SNind,1)","EVENT -> EVENT","impossible, tenue"
"FR100882","c44","Classe 2","(SN∅,1)-(Autre,1)-(Np,3)","BODYPART -> BODYPART -> BODYPART -> BODYPART -> BODYPART","T7, T7, T7, T7, T7"
"FR100882","c48","Classe 2","(Autre,2)","BODYPART -> BODYPART","T9, T9"
"FR100882","c55","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","compression médullaire, compression médullaire"
"FR100882","c57","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","IRM, qui"
"FR100882","c58","Classe 2","(SNind,1)-(SN∅,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","épidurite, épidurite"
"FR100882","c79","Classe 2","(SN∅,2)","EVENT -> EVENT","signe, signe"
"FR100882","c80","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","malignité, malignité"
"FR100882","c87","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","hémangiome, hémangiome"
"FR100882","c90","Classe 2","(SNind,1)-(SN∅,1)-(Pro,1)","EVENT -> EVENT -> Non annoté","Imagerie, IRM, qui"
"FR100882","c98","Classe 2","(SNind,1)-(SN∅,1)","CLINENTITY -> EVENT","hépatite C, CRP"
"FR100882","c119","Classe 3","(SNdef,2)","BODYPART -> BODYPART","aux membres inférieurs, aux membres inférieurs"
